
特定口座損益明細

"受渡開始年月日","受渡終了年月日","明細数","明細指定開始","明細指定終了"
"1986/01/01","1986/12/31","84","1","84"

譲渡益税徴収額合計
21418

損益金額合計
105433

配当所得税徴収額合計
374

配当金額等合計 (税引き前)
1853

（注）明細数および合計金額はご指定された期間の合計です。

"銘柄コード","銘柄","譲渡益取消区分","約定日","数量","取引","受渡日","売却/決済金額","費用","取得/新規年月日","取得/新規金額","損益金額/徴収額","地方税"
"","SAMPLE_STOCK_001","","1966/01/05","1株","外国株式配当金","1966/01/05","--","--","----/--/--","--","+16"
"配当所得税徴収額","","","","","","1966/01/05","","","","","1","0"
"7001     ","SAMPLE_STOCK_002","","1966/01/05","99株","現物売","1966/01/07","3428","--","1965/08/14","4161","-732"
"7001     ","SAMPLE_STOCK_002","","1966/01/05","1株","現物売","1966/01/07","34","--","1965/06/13","42","-7"
"譲渡益税徴収額","","","","","","1966/01/07","","","","","0","0"
"","SAMPLE_STOCK_003","","1966/01/14","1株","外国株式配当金","1966/01/14","--","--","----/--/--","--","+17"
"配当所得税徴収額","","","","","","1966/01/14","","","","","1","0"
"7002     ","SAMPLE_STOCK_004","","1966/01/15","100株","信用返済売","1966/01/19","368841","811","1965/12/17","328215","+40625"
"譲渡益税徴収額","","","","","","1966/01/19","","","","","3322","818"
"","SAMPLE_STOCK_005","","1966/01/26","1株","外国株式配当金","1966/01/26","--","--","----/--/--","--","+12"
"配当所得税徴収額","","","","","","1966/01/26","","","","","1","0"
"7003     ","SAMPLE_STOCK_006","","1966/01/29","1株","現物売","1966/02/02","114","--","1965/05/09","146","-33"
"7003     ","SAMPLE_STOCK_006","","1966/01/29","9株","現物売","1966/02/02","1021","--","1965/06/26","1318","-296"
"譲渡益税還付金","","","","","","1966/02/02","","","","","27","7"
"","SAMPLE_STOCK_007","","1966/02/03","1株","外国株式配当金","1966/02/03","--","--","----/--/--","--","+35"
"配当所得税徴収額","","","","","","1966/02/03","","","","","3","1"
"","SAMPLE_STOCK_008","","1966/02/05","90株","外国株式配当金","1966/02/05","--","--","----/--/--","--","+586"
"配当所得税徴収額","","","","","","1966/02/05","","","","","49","12"
"","SAMPLE_STOCK_009","","----/--/--","1株","米株信用返済売","1966/02/09","10578","163","1965/11/13","11516","-938"
"譲渡益税還付金","","","","","","1966/02/09","","","","","78","19"
"7004     ","SAMPLE_STOCK_010","","1966/02/09","1株","現物売","1966/02/12","265","--","1965/04/23","346","-80"
"7004     ","SAMPLE_STOCK_010","","1966/02/09","4株","現物売","1966/02/12","1060","--","1965/07/31","1382","-322"
"7005     ","SAMPLE_STOCK_011","","1966/02/09","1株","現物売","1966/02/12","462","--","1965/07/04","216","+246"
"7006     ","SAMPLE_STOCK_012","","1966/02/09","1株","現物売","1966/02/12","583","--","1965/07/04","714","-130"
"7006     ","SAMPLE_STOCK_012","","1966/02/09","2株","現物売","1966/02/12","1166","--","1965/08/18","1428","-261"
"7006     ","SAMPLE_STOCK_012","","1966/02/09","3株","現物売","1966/02/12","1750","--","1965/08/27","2141","-391"
"7007     ","SAMPLE_STOCK_013","","1966/02/09","1株","現物売","1966/02/12","837","--","1965/06/20","1257","-420"
"7007     ","SAMPLE_STOCK_013","","1966/02/09","1株","現物売","1966/02/12","837","--","1965/06/06","1257","-420"
"7007     ","SAMPLE_STOCK_013","","1966/02/09","1株","現物売","1966/02/12","837","--","1965/03/28","1257","-420"
"7007     ","SAMPLE_STOCK_013","","1966/02/09","2株","現物売","1966/02/12","1674","--","1965/06/12","2515","-841"
"7007     ","SAMPLE_STOCK_013","","1966/02/09","2株","現物売","1966/02/12","1674","--","1965/10/22","2515","-841"
"7007     ","SAMPLE_STOCK_013","","1966/02/09","2株","現物売","1966/02/12","1674","--","1965/07/02","2515","-841"
"7008     ","SAMPLE_STOCK_014","","1966/02/09","1株","現物売","1966/02/12","1454","--","1965/08/06","2225","-772"
"7009     ","SAMPLE_STOCK_015","","1966/02/09","2株","現物売","1966/02/12","1607","--","1965/09/04","2369","-763"
"7009     ","SAMPLE_STOCK_015","","1966/02/09","2株","現物売","1966/02/12","1607","--","1965/09/09","2369","-763"
"7009     ","SAMPLE_STOCK_015","","1966/02/09","2株","現物売","1966/02/12","1607","--","1965/08/21","2369","-763"
"7009     ","SAMPLE_STOCK_015","","1966/02/09","2株","現物売","1966/02/12","1607","--","1966/02/02","2369","-763"
"7010     ","SAMPLE_STOCK_016","","1966/02/09","1株","現物売","1966/02/12","26","--","1965/06/27","130","-103"
"7010     ","SAMPLE_STOCK_016","","1966/02/09","1株","現物売","1966/02/12","27","--","1965/06/05","130","-103"
"7011     ","SAMPLE_STOCK_017","","1966/02/09","1株","現物売","1966/02/12","793","--","1965/08/07","608","+186"
"7012     ","SAMPLE_STOCK_018","","1966/02/09","1株","現物売","1966/02/12","512","--","1965/08/05","667","-156"
"譲渡益税還付金","","","","","","1966/02/12","","","","","727","179"
"","SAMPLE_STOCK_019","","1966/02/13","1株","外国株式配当金","1966/02/13","--","--","----/--/--","--","+6"
"配当所得税徴収額","","","","","","1966/02/13","","","","","0","0"
"7013     ","SAMPLE_STOCK_020","","1966/02/12","2株","現物売","1966/02/16","2288","--","1965/10/21","2526","-238"
"7013     ","SAMPLE_STOCK_020","","1966/02/12","2株","現物売","1966/02/16","2288","--","1965/10/22","2526","-238"
"譲渡益税還付金","","","","","","1966/02/16","","","","","40","10"
"7014     ","SAMPLE_STOCK_021","","1966/02/18","1株","現物売","1966/02/20","584","--","1965/06/05","499","+84"
"7014     ","SAMPLE_STOCK_021","","1966/02/18","1株","現物売","1966/02/20","584","--","1965/06/27","499","+84"
"7015     ","SAMPLE_STOCK_022","","1966/02/18","10株","現物売","1966/02/20","1602","--","1965/08/21","1743","-141"
"7015     ","SAMPLE_STOCK_022","","1966/02/18","10株","現物売","1966/02/20","1602","--","1965/10/27","1743","-141"
"7015     ","SAMPLE_STOCK_022","","1966/02/18","10株","現物売","1966/02/20","1602","--","1965/09/04","1743","-141"
"7001     ","SAMPLE_STOCK_002","","1966/02/18","1株","現物売","1966/02/20","25","--","1965/08/14","35","-10"
"7001     ","SAMPLE_STOCK_002","","1966/02/18","100株","現物売","1966/02/20","2488","--","1966/02/12","3496","-1009"
"譲渡益税還付金","","","","","","1966/02/20","","","","","106","26"
"","SAMPLE_STOCK_023","","1966/03/03","1株","外国株式配当金","1966/03/03","--","--","----/--/--","--","+4"
"配当所得税徴収額","","","","","","1966/03/03","","","","","0","0"
"","SAMPLE_STOCK_024","","1966/03/04","1株","外国株式配当金","1966/03/04","--","--","----/--/--","--","+5"
"配当所得税徴収額","","","","","","1966/03/04","","","","","0","0"
"7016     ","SAMPLE_STOCK_025","","1966/03/03","101株","株式配当金","1966/03/05","--","--","----/--/--","--","+77"
"配当所得税徴収額","","","","","","1966/03/05","","","","","6","2"
"","SAMPLE_STOCK_008","","1966/03/05","90株","外国株式配当金","1966/03/05","--","--","----/--/--","--","+536"
"配当所得税徴収額","","","","","","1966/03/05","","","","","45","11"
"","SAMPLE_STOCK_026","","1966/03/11","1株","外国株式配当金","1966/03/11","--","--","----/--/--","--","+41"
"配当所得税徴収額","","","","","","1966/03/11","","","","","3","1"
"7003     ","SAMPLE_STOCK_006","","1966/03/10","10株","株式配当金","1966/03/12","--","--","----/--/--","--","+8"
"配当所得税徴収額","","","","","","1966/03/12","","","","","1","0"
"7017     ","SAMPLE_STOCK_027","","1966/03/10","1株","株式配当金","1966/03/12","--","--","----/--/--","--","+22"
"配当所得税徴収額","","","","","","1966/03/12","","","","","2","0"
"","SAMPLE_STOCK_028","","1966/03/13","1株","外国株式配当金","1966/03/13","--","--","----/--/--","--","+22"
"配当所得税徴収額","","","","","","1966/03/13","","","","","2","0"
"","SAMPLE_STOCK_029","","1966/03/17","1株","外国株式配当金","1966/03/17","--","--","----/--/--","--","+5"
"配当所得税徴収額","","","","","","1966/03/17","","","","","0","0"
"7015     ","SAMPLE_STOCK_022","","1966/03/18","30株","株式配当金","1966/03/23","--","--","----/--/--","--","+15"
"配当所得税徴収額","","","","","","1966/03/23","","","","","1","0"
