データ作成日：2026/08/02 16:52:44
"約定日","受渡日","口座","商品","取引","銘柄コード","銘柄名","数量（株/口）/返済数量","単価/返済約定単価","手数料","税金(手数料消費税及び譲渡益税)","利金・分配金・償還金","受渡金額(円)","建約定日","建単価","建約定金額","建手数料","建手数料消費税","事務管理費","名義書換料","順日歩","逆日歩","貸株料","諸経費","備考"
"2026/07/06","2026/07/07","","先物","決済売","161070023","日経225マイクロ先物 26/07","1","69,510","-10","-1","0","-15,922","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","決済売","161070023","日経225マイクロ先物 26/07","1","69,510","-10","-1","0","-15,922","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","決済売","161070023","日経225マイクロ先物 26/07","2","69,510","-20","-2","0","-31,844","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","決済売","161070023","日経225マイクロ先物 26/07","4","69,510","-40","-4","0","-63,688","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","決済売","161070023","日経225マイクロ先物 26/07","6","69,505","-60","-6","0","-95,832","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","決済売","161070023","日経225マイクロ先物 26/07","3","69,505","-30","-3","0","-30,366","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","決済売","161070023","日経225マイクロ先物 26/07","4","69,505","-40","-4","0","-40,688","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","決済売","161070023","日経225マイクロ先物 26/07","8","69,505","-80","-8","0","-81,776","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","買建","161080023","日経225マイクロ先物 26/08","10","69,600","-100","-10","0","","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","買建","161080023","日経225マイクロ先物 26/08","10","69,605","-100","-10","0","","","","","","","","","","","","",""
"2026/07/06","2026/07/07","","先物","買建","161080023","日経225マイクロ先物 26/08","10","69,610","-100","-10","0","","","","","","","","","","","","",""
"2026/07/07","2026/07/08","","先物","買建","161080023","日経225マイクロ先物 26/08","15","68,800","-150","-15","0","","","","","","","","","","","","",""
"2026/07/09","2026/07/09","","","オンライン入金（銀行）","","","0","0","0","0","0","200,000","","","","","","","","","","","",""
"2026/07/09","2026/07/09","","","振替出金（先OP証拠金へ）","","","0","0","0","0","0","200,000","","","","","","","","","","","",""
"2026/07/09","2026/07/10","","オプション","売建","191327018","日経225OP 26/08 ｺｰﾙ 77000","1","400","-720","-72","0","399,208","","","","","","","","","","","",""
"2026/07/10","2026/07/13","","オプション","売建","191327018","日経225OP 26/08 ｺｰﾙ 77000","1","400","-720","-72","0","399,208","","","","","","","","","","","",""
"2026/07/21","2026/07/21","","","振替出金（先OP証拠金へ）","","","0","0","0","0","0","600,000","","","","","","","","","","","",""
"2026/07/21","2026/07/21","","","オンライン入金（銀行）","","","0","0","0","0","0","600,000","","","","","","","","","","","",""
"2026/07/27","2026/07/28","","オプション","売建","191322018","日経225OP 26/08 ｺｰﾙ 72000","1","221","-397","-39","0","220,564","","","","","","","","","","","",""
"2026/07/27","2026/07/28","","オプション","買戻","191327018","日経225OP 26/08 ｺｰﾙ 77000","1","15","-77","-7","0","15,084","","","","","","","","","","","",""
"2026/07/27","2026/07/28","","オプション","買戻","191327018","日経225OP 26/08 ｺｰﾙ 77000","1","20","-103","-10","0","20,113","","","","","","","","","","","",""
"2026/07/29","2026/07/29","","","振替出金（先OP証拠金へ）","","","0","0","0","0","0","250,000","","","","","","","","","","","",""
"2026/07/29","2026/07/29","","","オンライン入金（銀行）","","","0","0","0","0","0","250,000","","","","","","","","","","","",""
"2026/07/30","2026/07/30","","","オンライン入金（銀行）","","","0","0","0","0","0","50,000","","","","","","","","","","","",""
"2026/07/30","2026/07/30","","","振替出金（先OP証拠金へ）","","","0","0","0","0","0","50,000","","","","","","","","","","","",""
"2026/07/30","2026/07/31","","オプション","買戻","191322018","日経225OP 26/08 ｺｰﾙ 72000","1","19","-180","-18","0","19,198","","","","","","","","","","","",""
"2026/07/31","2026/07/31","","","オンライン入金（銀行）","","","0","0","0","0","0","50,000","","","","","","","","","","","",""
"2026/07/31","2026/07/31","","","振替出金（先OP証拠金へ）","","","0","0","0","0","0","220,000","","","","","","","","","","","",""
"2026/07/31","2026/07/31","","","振替出金（先OP証拠金へ）","","","0","0","0","0","0","50,000","","","","","","","","","","","",""
"2026/07/31","2026/07/31","","","オンライン入金（銀行）","","","0","0","0","0","0","220,000","","","","","","","","","","","",""
"2026/07/31","2026/08/03","","オプション","売建","141320018","日経225OP 26/08 ｺｰﾙ 70000","1","170","-306","-30","0","169,664","","","","","","","","","","","",""
